Category,Ticker,ConvictionStocks,DecidingTheMarketDirections,DollarMoves
EVChargingInfrastructure,CHPT,No,No,No
ElectricVehiclesandAutomakers,F,No,No,No
ElectricVehiclesandAutomakers,FSR,No,No,No
ElectricVehiclesandAutomakers,FUV,No,No,No
ElectricVehiclesandAutomakers,GM,No,No,No
ElectricVehiclesandAutomakers,GOEV,No,No,No
ElectricVehiclesandAutomakers,LI,No,No,No
ElectricVehiclesandAutomakers,NIO,No,No,No
ElectricVehiclesandAutomakers,RIVN,No,No,No
ElectricVehiclesandAutomakers,TSLA,Yes,Yes,Yes
ElectricVehiclesandAutomakers,XPEV,No,No,No
AutonomousDrivingandLidar,IDEX,No,No,No
AutonomousDrivingandLidar,TSLA,Yes,Yes,Yes
LithiumMiningandResources,ABML,No,No,No
LithiumMiningandResources,ALB,No,No,No
LithiumMiningandResources,LTHM,No,No,No
RareEarthandCriticalMinerals,MP,Yes,No,Yes
RareEarthandCriticalMinerals,UAMY,Yes,No,Yes
MetalsandMining_General,FCX,No,No,No
MetalsandMining_General,VALE,No,No,No
GoldandPreciousMetalsMining,GFI,No,No,No
GoldandPreciousMetalsMining,GOLD,No,No,No
GoldandPreciousMetalsMining,HMY,No,No,No
GoldandPreciousMetalsMining,KGC,No,No,No
GoldandPreciousMetalsMining,PAAS,No,No,No
UraniumandNuclearEnergy,LEU,No,No,No
UraniumandNuclearEnergy,LTBR,No,No,No
UraniumandNuclearEnergy,OKLO,Yes,Yes,Yes
UraniumandNuclearEnergy,UUUU,No,No,No
AerospaceandSpaceExploration,ASTS,No,No,No
AerospaceandSpaceExploration,JOBY,No,No,No
AerospaceandSpaceExploration,RKLB,No,No,No
AerospaceandSpaceExploration,XPEV,No,No,No
DronesandUnmannedVehicles,AVAV,No,No,No
DronesandUnmannedVehicles,DPRO,No,No,No
DefenseandMilitaryTech,KTOS,Yes,No,No
DefenseandMilitaryTech,LMT,Yes,Yes,Yes
DefenseandMilitaryTech,RTX,Yes,Yes,Yes
AviationandAircraft,AAL,No,No,No
AviationandAircraft,BA,No,No,No
E_commercePlatforms,AMZN,Yes,Yes,Yes
E_commercePlatforms,ETSY,No,No,No
E_commercePlatforms,JMIA,No,No,No
E_commercePlatforms,PDD,No,No,No
E_commercePlatforms,WISH,No,No,No
E_commercePlatforms,MELI,Yes,No,Yes
ConsumerApparelandRetail,LULU,Yes,No,No
ConsumerApparelandRetail,ULTA,Yes,No,Yes
ConsumerApparelandRetail,GAP,No,No,No
EntertainmentandStreaming,DIS,Yes,No,No
EntertainmentandStreaming,NFLX,Yes,Yes,Yes
GamingandSportsBetting,DKNG,No,No,No
GamingandSportsBetting,RBLX,No,No,No
TravelandCruiseLines,CCL,No,No,No
TravelandCruiseLines,NCLH,No,No,No
TravelandCruiseLines,WYNN,No,No,No
HospitalityandRentals,ABNB,Yes,No,No
HospitalityandRentals,CAR,No,No,No
RealEstateandREITs,DLR,No,No,No
RealEstateandREITs,EQR,No,No,No
RealEstateandREITs,EXPI,No,No,No
RealEstateandREITs,O,No,No,No
AutoPartsRetailers,AZO,No,No,No
AutoPartsRetailers,ORLY,No,No,No
FoodandBeverage,GO,No,No,No
FoodandBeverage,PEP,Yes,No,No
FoodandBeverage,KO,Yes,No,No
DataCentersandInfrastructureHardware,APH,No,No,No
DataCentersandInfrastructureHardware,DLR,No,No,No
DataCentersandInfrastructureHardware,GLW,No,No,No
DataCentersandInfrastructureHardware,STX,No,No,No
DataCentersandInfrastructureHardware,VRT,No,No,No
NetworkingEquipment,UI,No,No,No
3DPrintingandAdditiveManufacturing,DM,No,No,No
3DPrintingandAdditiveManufacturing,PRLB,No,No,No
Augmented_VirtualReality,META,Yes,Yes,Yes
MemeandHigh_VolatilityStocks,GME ,No,No,No
MemeandHigh_VolatilityStocks,WISH,No,No,No
Cannabis_Related,CLVR,No,No,No
Software_Cybersecurity,NET ,No,No,No
Software_Cybersecurity,CRWD,No,No,No
CommunicationServices,ASTS,No,No,Yes
CommunicationServices,GOOG,Yes,Yes,Yes
CommunicationServices,META,Yes,Yes,Yes
CommunicationServices,T,No,No,No
CommunicationServices,ZM,No,No,No
CHINA,LI ,No,No,No
CHINA,NIO ,No,No,No
CHINA,PDD ,No,No,No
CHINA,SOS ,No,No,No
CHINA,XPEV ,No,No,No
CHINA,JD,No,No,No
CHINA,AFTY,No,No,No
CHINA,ASHR,No,No,No
CHINA,ASHS,No,No,No
CHINA,ASHX,No,No,No
CHINA,CGRO,No,No,No
CHINA,CHIE,No,No,No
CHINA,CHII,No,No,No
CHINA,CHIM,No,No,No
CHINA,CHIQ,No,No,No
CHINA,CHIX,No,No,No
CHINA,CN,No,No,No
CHINA,CNHX,No,No,No
CHINA,CNXT,No,No,No
CHINA,CNYA,No,No,No
CHINA,CQQQ,No,No,No
CHINA,CSXE,No,No,No
CHINA,CXSE,No,No,No
CHINA,ECNS,No,No,No
CHINA,FCA,No,No,No
CHINA,FLCH,No,No,No
CHINA,FNI,No,No,No
CHINA,FXI,No,No,No
CHINA,GXC,No,No,No
CHINA,HAHA,No,No,No
CHINA,KBA,No,No,No
CHINA,KLIP,No,No,No
CHINA,KSTR,No,No,No
CHINA,KURE,No,No,No
CHINA,KWEB,No,No,No
CHINA,MCHI,No,No,No
CHINA,MCHS,No,No,No
CHINA,PEK,No,No,No
CHINA,PGJ,No,No,No
CHINA,TAO,No,No,No
CHINA,XINA,No,No,No
CHINA,YAO,No,No,No
CHINA,BABX,No,No,No
CHINA,CHAD,No,No,No
CHINA,CHAU,No,No,No
CHINA,CWEB,No,No,No
CHINA,FXP,No,No,No
CHINA,XPP,No,No,No
CHINA,YANG,No,No,No
CHINA,YINN,No,No,No
CHINA,YXI,No,No,No
